id;fonte;data;indirizzo;zona;tipo;mq;stato;piano;ascensore;classe;balconi;cantina;box;epoca;affaccio;metro;prezzo_richiesto;prezzo_venduto;note
ds-1;idealista;2026-09-05;Via Fiori Chiari;B15;sig;100;otti;terra;si;E;0;no;nessuno;;;;950000;;Brera · Trilocale · stato: Ristrutturato · Lusso
ds-2;idealista;2026-09-05;Via Pontaccio;B18;sig;30;abit;1-2;si;D;0;no;nessuno;;;;670000;;Brera · Bilocale · stato: Buono · Lusso
ds-3;idealista;2026-09-05;Via dell'Annunciata;B15;sig;90;otti;1-2;si;F;0;no;nessuno;;;;1600000;;Brera · Bilocale · stato: Ristrutturato · Lusso
ds-4;idealista;2026-09-05;;B15;sig;80;otti;terra;si;D;0;no;nessuno;;;;780000;;Brera · Bilocale · stato: Ristrutturato · Lusso
ds-5;idealista;2026-09-05;;B15;sig;75;abit;3-5;si;D;0;no;nessuno;;;;795000;;Brera · Bilocale · stato: Buono · Lusso
ds-6;idealista;2026-09-05;Via Ponte Vetero 10;B15;sig;156;rist;1-2;si;D;1;si;nessuno;;;;2600000;;Brera · Appartamento · stato: Da ristrutturare / personalizzare · Lusso
ds-7;idealista;2026-09-05;;B15;sig;160;abit;3-5;si;D;0;no;nessuno;;;;2400000;;Brera · Quadrilocale · stato: Buono · Lusso
ds-8;idealista;2026-09-05;Via San Carpoforo 6;B15;civ;21;abit;terra;si;E;0;no;nessuno;;;;380000;;Brera · Monolocale · stato: Buono · Standard · micro-suite da affitti brevi: prezzo reale, caso atipico
ds-9;idealista;2026-09-05;Via San Carpoforo 3;B15;sig;76;otti;1-2;si;D;0;no;nessuno;;;;1150000;;Brera · Trilocale · stato: Ottimo / ristrutturato · Lusso
ds-10;idealista;2026-09-05;Via Mercato;B15;sig;200;otti;3-5;si;D;0;no;nessuno;;;;3200000;;Brera · Quadrilocale · stato: Ottimo · Lusso
ds-11;idealista;2026-09-05;Via Giuseppe Sacchi 4;B15;sig;135;abit;3-5;no;D;1;no;nessuno;;;;1550000;;Brera · Trilocale · stato: Buono · Lusso
ds-12;idealista;2026-09-05;Via Monte di Pietà;B15;sig;92;otti;3-5;si;D;0;no;nessuno;;;;1897000;;Brera · Bilocale · stato: Ottimo · Lusso
ds-13;idealista;2026-09-05;Via Fiori Chiari;B15;sig;154;abit;1-2;si;F;1;no;nessuno;;;;2500000;;Brera · Trilocale · stato: Buono · Lusso
ds-14;idealista;2026-09-05;Via Fiori Oscuri 11;B15;sig;55;otti;1-2;si;F;0;no;nessuno;;;;950000;;Brera · Bilocale · stato: Buono · Lusso
ds-15;idealista;2026-09-05;Viale Stelvio 53;C15;civ;142;abit;1-2;si;D;1;no;nessuno;;;;845000;;Isola · Quadrilocale · stato: Buono · Standard
ds-16;idealista;2026-09-05;Via Menabrea 24A;C15;civ;58;otti;3-5;si;D;0;no;nessuno;;;;320000;;Isola · Bilocale · stato: Ristrutturato · Standard
ds-17;idealista;2026-09-05;Viale Marche;C15;civ;125;abit;3-5;si;D;1;no;nessuno;;;;525000;;Isola · Trilocale · stato: Buono · Standard
ds-18;idealista;2026-09-05;Via Ippolito Rosellini 8;C15;civ;58;abit;3-5;si;C;0;no;nessuno;;;;510000;;Isola · Bilocale · stato: Buono · Standard
ds-19;idealista;2026-09-05;Piazzale Carlo Archinto 7;C12;civ;56;nuov;1-2;si;A;0;no;nessuno;;;;567000;;Isola · Bilocale · stato: Nuovo / recente · Standard
ds-20;idealista;2026-09-05;Via Menabrea 24;C15;civ;41;nuov;1-2;si;D;0;no;nessuno;;;;210000;;Isola · Monolocale · stato: Ristrutturato / nuovo · Standard
ds-21;idealista;2026-09-05;Via Carlo Farini 27;C12;civ;90;abit;1-2;si;D;0;no;nessuno;;;;470000;;Isola · Trilocale · stato: Buono · Standard
ds-22;idealista;2026-09-05;Via Pastrengo 4;C12;civ;25;otti;3-5;no;G;0;no;nessuno;;;;260000;;Isola · Monolocale · stato: Ristrutturato · Standard
ds-23;idealista;2026-09-05;;C15;civ;90;abit;3-5;si;D;0;no;nessuno;;;;490000;;Isola · Trilocale · stato: Da modernizzare · Standard
ds-24;idealista;2026-09-05;Via Pietro Borsieri 27;C12;civ;102;abit;3-5;si;D;0;no;nessuno;;;;730000;;Isola · Trilocale · stato: Buono · Standard
