ID_globale;ID_portale;Portale;Contratto;Quartiere;Indirizzo;Tipo_immobile;Prezzo_EUR;Superficie_mq;Prezzo_vendita_EUR_mq;Canone_affitto_EUR_mq_mese;Locali;Bagni;Piano;Stato;Segmento;Ascensore;Balcone;Terrazzo;Arredato;Cantina;Box_posto_auto;Data_pubblicazione_esatta;Ultimo_aggiornamento;Data_annuncio_visibile_o_proxy;Tipo_data_annuncio;Recenza_portale;Data_rilevazione;Qualita_dato;Nota_data
1;1;Idealista;Vendita;Brera;Via Fiori Chiari;Trilocale;950000;100;9500.0;;3;N/D;T;Ristrutturato;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
2;2;Idealista;Vendita;Brera;Via Pontaccio;Bilocale;670000;30;22333.33;;2;N/D;2;Buono;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
3;3;Idealista;Vendita;Brera;Via dell'Annunciata;Bilocale;1600000;90;17777.78;;2;N/D;1;Ristrutturato;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
4;4;Idealista;Vendita;Brera;Brera (indirizzo non indicato);Bilocale;780000;80;9750.0;;2;N/D;T;Ristrutturato;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
5;5;Idealista;Vendita;Brera;Brera (indirizzo non indicato);Bilocale;795000;75;10600.0;;2;N/D;5;Buono;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
6;6;Idealista;Vendita;Brera;Via Ponte Vetero 10;Appartamento;2600000;156;16666.67;;5;2;2;Da ristrutturare / personalizzare;Lusso;Sì;Sì;Sì;Parzialmente;Sì;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
7;7;Idealista;Vendita;Brera;Brera (indirizzo non indicato);Quadrilocale;2400000;160;15000.0;;4;N/D;5;Buono;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
8;8;Idealista;Vendita;Brera;Via San Carpoforo 6;Monolocale;380000;21;18095.24;;1;N/D;T;Buono;Standard;Sì;No;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
9;9;Idealista;Vendita;Brera;Via San Carpoforo 3;Trilocale;1150000;76;15131.58;;3;N/D;2;Ottimo / ristrutturato;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
10;10;Idealista;Vendita;Brera;Via Mercato;Quadrilocale;3200000;200;16000.0;;4;N/D;5;Ottimo;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
11;11;Idealista;Vendita;Brera;Via Giuseppe Sacchi 4;Trilocale;1550000;135;11481.48;;3;N/D;5;Buono;Lusso;No;Sì;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
12;12;Idealista;Vendita;Brera;Via Monte di Pietà;Bilocale;1897000;92;20619.57;;2;N/D;3;Ottimo;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
13;13;Idealista;Vendita;Brera;Via Fiori Chiari;Trilocale;2500000;154;16233.77;;3;N/D;2;Buono;Lusso;Sì;Sì;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
14;14;Idealista;Vendita;Brera;Via Fiori Oscuri 11;Bilocale;950000;55;17272.73;;2;N/D;1;Buono;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
15;15;Idealista;Vendita;Isola;Viale Stelvio 53;Quadrilocale;845000;142;5950.7;;4;N/D;2;Buono;Standard;Sì;Sì;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
16;16;Idealista;Vendita;Isola;Via Menabrea 24A;Bilocale;320000;58;5517.24;;2;N/D;4;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
17;17;Idealista;Vendita;Isola;Viale Marche;Trilocale;525000;125;4200.0;;3;N/D;3;Buono;Standard;Sì;Sì;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
18;18;Idealista;Vendita;Isola;Via Ippolito Rosellini 8;Bilocale;510000;58;8793.1;;2;N/D;3;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
19;19;Idealista;Vendita;Isola;Piazzale Carlo Archinto 7;Bilocale;567000;56;10125.0;;2;N/D;2;Nuovo / recente;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
20;20;Idealista;Vendita;Isola;Via Menabrea 24;Monolocale;210000;41;5121.95;;1;N/D;1;Ristrutturato / nuovo;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
21;21;Idealista;Vendita;Isola;Via Carlo Farini 27;Trilocale;470000;90;5222.22;;3;N/D;1;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
22;22;Idealista;Vendita;Isola;Via Pastrengo 4;Monolocale;260000;25;10400.0;;1;N/D;4;Ristrutturato;Standard;No;No;No;Sì;No;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
23;23;Idealista;Vendita;Isola;Isola (indirizzo non indicato);Trilocale;490000;90;5444.44;;3;N/D;4;Da modernizzare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
24;24;Idealista;Vendita;Isola;Via Pietro Borsieri 27;Trilocale;730000;102;7156.86;;3;N/D;5;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
25;25;Idealista;Vendita;Isola;Via Carlo Farini 81;Bilocale;265000;55;4818.18;;2;N/D;2;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
