ID_globale,ID_portale,Portale,Contratto,Quartiere,Indirizzo,Tipo_immobile,Prezzo_EUR,Superficie_mq,Prezzo_vendita_EUR_mq,Canone_affitto_EUR_mq_mese,Locali,Bagni,Piano,Stato,Segmento,Ascensore,Balcone,Terrazzo,Arredato,Cantina,Box_posto_auto,Data_pubblicazione_esatta,Ultimo_aggiornamento,Data_annuncio_visibile_o_proxy,Tipo_data_annuncio,Recenza_portale,Data_rilevazione,Qualita_dato,Nota_data,Classe_energetica,Esito_verifica_energia,Data_verifica_energia
201,128141494,Immobiliare.it,Vendita,Brera,via Fiori Oscuri 13,Quadrilocale,5500000,258,21317.82945736434,,4,3,"Piano terra, 1",Ottimo stato,Lusso,No,Sì,No,Sì,Sì,2 posto auto,N/D,2026-05-27,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
202,118144815,Immobiliare.it,Vendita,Brera,via San Carpoforo 9,Bilocale,799000,70,11414.285714285714,,2,1,2,Ottimo stato,Lusso,No,Sì,No,Sì,Sì,N/D,N/D,2026-07-20,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
203,126590103,Immobiliare.it,Vendita,Scala - Manzoni,via Montenapoleone,Appartamento,8000000,240,33333.333333333336,,5+,3+,6,Ottimo stato,Lusso,Sì,Sì,Sì,Sì,Sì,"2 in box privato/box in garage, 1 posto auto",N/D,2026-07-20,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A,Classe dichiarata,2026-09-05
204,35755623,Idealista,Vendita,Isola,Piazza Fidia s.n.c,Villa,2680000,240,11166.666666666666,,4,3,N/D,Nuova costruzione,N/D,N/D,N/D,Sì,N/D,Sì,N/D,N/D,N/D,27 maggio,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non dichiarata nel testo consultato,2026-09-05
205,31845738,Idealista,Vendita,Isola,"Via Giulio Belinzaghi, 14",Trilocale,660000,105,6285.714285714285,,3,2,2º piano,Buono stato,N/D,Sì,N/D,Sì,N/D,N/D,N/D,N/D,N/D,29 aprile,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A,Classe dichiarata,2026-09-05
206,35732635,Idealista,Vendita,Isola,"Via Luigi Federico Menabrea, 7",Trilocale,790000,108,7314.814814814815,,3,2,2º piano,Buono stato,N/D,Sì,N/D,Sì,N/D,Sì,Sì,N/D,N/D,27 luglio,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A2,Classe dichiarata,2026-09-05
207,36349620,Idealista,Vendita,Isola,"Via Sebenico, 28",Appartamento su due piani,390000,56,6964.285714285715,,2,1,4º piano,Buono stato,N/D,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,26 agosto,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,In attesa di certificazione,2026-09-05
208,35884100,Idealista,Vendita,Isola,"Viale Stelvio, 16",Quadrilocale,560000,115,4869.565217391304,,4,1,2º piano,Buono stato,N/D,Sì,Sì,N/D,N/D,Sì,N/D,N/D,N/D,3 giugno,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
209,130911160,Immobiliare.it,Vendita,Isola,piazzale Lagosta 6,Bilocale,399000,42,9500,,2,1,1,Ottimo stato,Lusso,Sì,Sì,No,No,N/D,N/D,N/D,2026-08-02,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,C,Classe dichiarata,2026-09-05
210,128135276,Immobiliare.it,Vendita,Isola,via Pastrengo 9,Bilocale,259000,45,5755.555555555556,,2,1,4,Buono stato,N/D,No,No,No,No,Sì,N/D,N/D,2026-07-10,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
