ID_globale,ID_portale,Portale,Contratto,Quartiere,Indirizzo,Tipo_immobile,Prezzo_EUR,Superficie_mq,Prezzo_vendita_EUR_mq,Canone_affitto_EUR_mq_mese,Locali,Bagni,Piano,Stato,Segmento,Ascensore,Balcone,Terrazzo,Arredato,Cantina,Box_posto_auto,Data_pubblicazione_esatta,Ultimo_aggiornamento,Data_annuncio_visibile_o_proxy,Tipo_data_annuncio,Recenza_portale,Data_rilevazione,Qualita_dato,Nota_data,Classe_energetica,Esito_verifica_energia,Data_verifica_energia
1,1,Idealista,Vendita,Brera,Via Fiori Chiari,Trilocale,950000,100,9500,,3,N/D,T,Ristrutturato,Lusso,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,E,Classe dichiarata,2026-09-05
2,2,Idealista,Vendita,Brera,Via Pontaccio,Bilocale,670000,30,22333.333333333332,,2,N/D,2,Buono,Lusso,Sì,N/D,N/D,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,D,Classe dichiarata,2026-09-05
3,3,Idealista,Vendita,Brera,Via dell'Annunciata,Bilocale,1600000,90,17777.777777777777,,2,N/D,1,Ristrutturato,Lusso,Sì,N/D,N/D,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,F,Classe dichiarata,2026-09-05
4,4,Idealista,Vendita,Brera,Brera (indirizzo non indicato),Bilocale,780000,80,9750,,2,N/D,T,Ristrutturato,Lusso,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,N/D,Annuncio non identificato con certezza,2026-09-05
5,5,Idealista,Vendita,Brera,Brera (indirizzo non indicato),Bilocale,795000,75,10600,,2,N/D,5,Buono,Lusso,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,N/D,Annuncio non identificato con certezza,2026-09-05
6,6,Idealista,Vendita,Brera,Via Ponte Vetero 10,Appartamento,2600000,156,16666.666666666668,,5,2,2,Da ristrutturare / personalizzare,Lusso,Sì,Sì,Sì,Parzialmente,Sì,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,N/D,Annuncio non identificato con certezza,2026-09-05
7,7,Idealista,Vendita,Brera,Brera (indirizzo non indicato),Quadrilocale,2400000,160,15000,,4,N/D,5,Buono,Lusso,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,N/D,Annuncio non identificato con certezza,2026-09-05
8,8,Idealista,Vendita,Brera,Via San Carpoforo 6,Monolocale,380000,21,18095.238095238095,,1,N/D,T,Buono,Standard,Sì,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,E,Classe dichiarata,2026-09-05
9,9,Idealista,Vendita,Brera,Via San Carpoforo 3,Trilocale,1150000,76,15131.578947368422,,3,N/D,2,Ottimo / ristrutturato,Lusso,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,N/D,In attesa di certificazione,2026-09-05
10,10,Idealista,Vendita,Brera,Via Mercato,Quadrilocale,3200000,200,16000,,4,N/D,5,Ottimo,Lusso,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2026-09-05,Scheda lista / descrizione,Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile.,N/D,Classe non dichiarata nel testo consultato,2026-09-05
