id;fonte;data;indirizzo;zona;tipo;mq;stato;piano;ascensore;classe;balconi;cantina;box;epoca;affaccio;metro;prezzo_richiesto;prezzo_venduto;note
ds-1;idealista;2026-09-05;Via Fiori Chiari;B15;sig;100;otti;terra;si;D;0;no;nessuno;;;;950000;;Brera · Trilocale · stato orig: Ristrutturato · segm: Lusso
ds-2;idealista;2026-09-05;Via Pontaccio;B18;sig;30;abit;1-2;si;D;0;no;nessuno;;;;670000;;Brera · Bilocale · stato orig: Buono · segm: Lusso
ds-3;idealista;2026-09-05;Via dell'Annunciata;B15;sig;90;otti;1-2;si;D;0;no;nessuno;;;;1600000;;Brera · Bilocale · stato orig: Ristrutturato · segm: Lusso
ds-4;idealista;2026-09-05;;B15;sig;80;otti;terra;si;D;0;no;nessuno;;;;780000;;Brera · Bilocale · stato orig: Ristrutturato · segm: Lusso
ds-5;idealista;2026-09-05;;B15;sig;75;abit;3-5;si;D;0;no;nessuno;;;;795000;;Brera · Bilocale · stato orig: Buono · segm: Lusso
ds-6;idealista;2026-09-05;Via Ponte Vetero 10;B15;sig;156;rist;1-2;si;D;1;si;nessuno;;;;2600000;;Brera · Appartamento · stato orig: Da ristrutturare / personalizzare · segm: Lusso
ds-7;idealista;2026-09-05;;B15;sig;160;abit;3-5;si;D;0;no;nessuno;;;;2400000;;Brera · Quadrilocale · stato orig: Buono · segm: Lusso
ds-8;idealista;2026-09-05;Via San Carpoforo 6;B15;civ;21;abit;terra;si;D;0;no;nessuno;;;;380000;;Brera · Monolocale · stato orig: Buono · segm: Standard
ds-9;idealista;2026-09-05;Via San Carpoforo 3;B15;sig;76;otti;1-2;si;D;0;no;nessuno;;;;1150000;;Brera · Trilocale · stato orig: Ottimo / ristrutturato · segm: Lusso
ds-10;idealista;2026-09-05;Via Mercato;B15;sig;200;otti;3-5;si;D;0;no;nessuno;;;;3200000;;Brera · Quadrilocale · stato orig: Ottimo · segm: Lusso
ds-11;idealista;2026-09-05;Via Giuseppe Sacchi 4;B15;sig;135;abit;3-5;no;D;1;no;nessuno;;;;1550000;;Brera · Trilocale · stato orig: Buono · segm: Lusso
ds-12;idealista;2026-09-05;Via Monte di Pietà;B15;sig;92;otti;3-5;si;D;0;no;nessuno;;;;1897000;;Brera · Bilocale · stato orig: Ottimo · segm: Lusso
ds-13;idealista;2026-09-05;Via Fiori Chiari;B15;sig;154;abit;1-2;si;D;1;no;nessuno;;;;2500000;;Brera · Trilocale · stato orig: Buono · segm: Lusso
ds-14;idealista;2026-09-05;Via Fiori Oscuri 11;B15;sig;55;abit;1-2;si;D;0;no;nessuno;;;;950000;;Brera · Bilocale · stato orig: Buono · segm: Lusso
